date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:01	149924/149924	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2002:08:58%20GMT	https://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp.jpg?v=1678968686&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp3d77.jpg	(from https://wegotkickspr.com/products/supreme-socks)
21:09:01	210223/210223	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202024%2022:44:21%20GMT	https://wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad.webp?v=1707371438	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baada4f8.jpg	(from https://wegotkickspr.com/products/supreme-logo-waist-bag-black)
21:09:01	504/504	---MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:05bf3f6524192a6102dc1710a8db9649%22	https://wegotkickspr.com/products/supreme-logo-waist-bag-black.oembed	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/products/supreme-logo-waist-bag-black.oembed	(from https://wegotkickspr.com/products/supreme-logo-waist-bag-black)
21:09:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:08:59%20GMT	http://wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad.webp?v=1707371438&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad3041.webp	(from https://wegotkickspr.com/products/supreme-logo-waist-bag-black)
21:09:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:09:01%20GMT	http://wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad.webp?v=1707371438&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad0988.webp	(from https://wegotkickspr.com/products/supreme-logo-waist-bag-black)
21:09:05	210223/210223	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202024%2021:50:04%20GMT	https://wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad.webp?v=1707371438&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad3041.jpg	(from https://wegotkickspr.com/products/supreme-logo-waist-bag-black)
21:09:05	143289/143289	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202024%2021:50:05%20GMT	https://wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad.webp?v=1707371438&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad0988.jpg	(from https://wegotkickspr.com/products/supreme-logo-waist-bag-black)
21:09:06	203097/203097	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:98763b379bbe1580d5c6c98f31cbd8a9%22	https://wegotkickspr.com/collections/adidas?page=1	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/collections/adidas2679.html	(from https://wegotkickspr.com/collections/adidas?page=2)
21:09:07	12077/12077	---MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:25df6563a966b4433bc11f2898782bff%22	https://wegotkickspr.com/collections/adidas.oembed?page=2	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/collections/adidas4658.oembed	(from https://wegotkickspr.com/collections/adidas?page=2)
21:09:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:09:04%20GMT	http://wegotkickspr.com/cdn/shop/products/586263d711316a2df726c9e76a6b9af0.jpg?v=1699733353&width=533	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/586263d711316a2df726c9e76a6b9af09834.jpg	(from https://wegotkickspr.com/collections/adidas?page=2)
21:09:07	19726/19726	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202024%2004:18:50%20GMT	https://wegotkickspr.com/cdn/shop/products/586263d711316a2df726c9e76a6b9af0.jpg?v=1699733353&width=533	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/586263d711316a2df726c9e76a6b9af09834.jpg	(from https://wegotkickspr.com/collections/adidas?page=2)
21:09:07	107029/107029	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:a18c73e60ccd3293b5af1d44707ba15d%22	https://wegotkickspr.com/products/yeezy-boost-700-v2-tephra	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/products/yeezy-boost-700-v2-tephra.html	(from https://wegotkickspr.com/collections/adidas?page=2)
